following,followers,username_length,full_name_length,description_length,username_has_number,full_name_has_number,description_has_number,is_fake
953,206135,9,9,139,False,False,True,False
827,138759,9,9,56,False,False,False,False
201,1010205,10,17,88,False,False,False,False
243,277538,10,4,56,False,False,False,False
4,316685,11,12,132,False,False,False,False
369,214174,12,6,34,False,False,False,False
6725,204631,9,21,150,False,False,False,False
305,841883,8,15,76,False,False,False,False
1976,143272,16,13,102,False,False,False,False
327,652689,6,15,23,False,False,False,False
374,171056,15,11,61,False,False,True,False
11,1275089,14,17,124,False,False,False,False
239,456628,15,17,110,False,False,False,False
213,390133,15,14,130,False,False,False,False
204,14867059,11,12,150,False,False,False,False
561,2081029,12,12,71,False,False,False,False
716,266992,8,8,83,False,False,False,False
278,1021923,12,16,143,False,False,False,False
1168,182871,15,24,95,False,False,False,False
1135,564092,12,12,107,False,False,True,False
216,242686,11,20,86,False,False,False,False
377,405070,10,10,75,False,False,True,False
1486,877576,12,7,87,False,False,True,False
634,149585,13,16,124,False,False,False,False
252,1780776,6,6,68,False,False,False,False
654,168197,12,10,68,False,False,False,False
804,4403202,12,14,105,False,False,True,False
1117,300190,22,23,142,False,False,False,False
739,169596,20,22,145,False,False,False,False
149,1104308,10,10,67,False,False,False,False
556,2000715,8,9,141,False,False,False,False
402,227691,11,11,133,False,False,True,False
500,423400,10,10,26,False,False,False,False
424,266261,6,6,117,False,False,False,False
205,830516,11,11,95,False,False,False,False
10,180341,11,12,41,False,False,False,False
507,444535,8,8,53,False,False,True,False
306,185222,12,19,101,False,False,False,False
824,829048,14,6,116,False,False,True,False
395,1378692,11,6,22,False,False,False,False
166,247850,19,21,71,False,False,False,False
444,141573,16,18,133,False,False,False,False
412,1314578,14,28,144,False,False,True,False
1307,361617,13,15,84,False,False,False,False
281,135036,18,21,100,False,False,False,False
270,252073,19,22,109,False,False,False,False
999,276353,13,11,51,False,False,False,False
31,284527,15,15,20,False,False,False,False
635,1055113,13,11,99,False,False,False,False
448,314951,12,12,0,False,False,False,False
544,137988,17,10,41,False,False,False,False
21,444394,13,23,132,False,False,True,False
341,696320,12,12,66,False,False,False,False
146,134665,11,30,87,True,False,True,False
345,1300222,9,13,55,False,False,True,False
34,503486,19,26,45,False,False,False,False
344,1347927,14,10,118,False,False,False,False
365,407122,7,11,90,False,False,False,False
603,286638,16,20,138,False,False,False,False
390,434741,14,16,89,False,False,False,False
478,254648,19,19,62,False,False,False,False
488,882392,11,12,37,False,False,False,False
692,2062443,13,14,147,False,False,False,False
2308,136547,13,14,66,False,False,False,False
160,339427,8,26,144,False,False,False,False
921,654961,12,12,21,False,False,False,False
576,163490,8,13,138,False,False,True,False
187,1066946,11,12,86,False,False,False,False
422,135528,13,14,108,False,False,True,False
511,211497,9,13,101,False,False,True,False
389,403230,9,27,68,False,False,False,False
2015,1599444,8,14,30,False,False,False,False
348,952521,13,16,74,False,False,False,False
572,493050,16,15,79,False,False,False,False
29,1168273,15,16,68,False,False,False,False
449,297368,12,16,92,False,False,False,False
1002,515880,9,9,76,False,False,False,False
192,6338949,21,24,139,False,False,False,False
494,252305,5,21,112,False,False,False,False
480,192220,9,16,49,False,False,False,False
534,1532608,11,10,135,False,False,False,False
784,129279,14,15,124,False,False,False,False
395,144002,7,10,45,False,False,False,False
126,317190,14,15,97,False,False,False,False
103,153418,7,12,142,False,False,True,False
161,1080935,5,12,144,True,False,True,False
1015,2096659,7,25,24,False,False,False,False
144,6041948,9,22,120,False,False,False,False
604,915613,11,10,69,False,False,False,False
292,3774965,12,13,130,False,False,False,False
312,1613237,13,14,118,False,False,False,False
230,153253,11,15,122,False,False,False,False
797,128568,13,13,150,False,False,False,False
869,2458822,13,14,75,False,False,False,False
494,159259,10,10,81,False,False,False,False
843,325319,8,16,105,False,False,False,False
1293,159257,13,15,115,False,False,False,False
91,633784,15,13,107,False,False,False,False
183,416673,12,13,149,False,False,False,False
191,222796,6,4,30,False,False,False,False
404,145789,17,19,105,False,False,True,False
241,357746,12,16,134,False,False,False,False
513,372576,19,17,132,False,False,True,False
31,762053,12,23,73,False,False,True,False
411,979755,12,11,55,False,False,False,False
846,611051,6,22,127,False,False,False,False
43,403505,11,12,57,False,False,True,False
335,320093,8,30,44,False,False,False,False
961,3223425,11,12,90,False,False,False,False
133,479108,13,19,65,True,True,True,False
357,217610,9,8,69,True,False,False,False
766,182807,12,15,111,False,False,False,False
251,364757,7,13,61,False,False,False,False
282,502630,19,21,96,False,False,False,False
282,299677,12,15,135,False,False,False,False
254,255247,15,23,96,False,False,False,False
559,340174,11,12,128,False,False,False,False
52,938263,20,22,127,False,False,False,False
1044,1039825,12,23,132,False,False,True,False
755,326400,18,10,147,False,False,False,False
116,506061,11,12,39,False,False,False,False
501,138088,6,10,105,False,False,False,False
222,279905,10,11,73,False,False,False,False
817,2071556,10,12,85,False,False,False,False
166,707916,12,13,95,False,False,False,False
487,312984,17,7,111,False,False,False,False
146,538428,10,15,40,False,False,False,False
263,1217178,5,13,146,False,False,True,False
589,2581040,12,12,60,False,False,False,False
296,398279,12,13,33,False,False,False,False
3482,374359,15,27,80,False,False,False,False
69,144779,30,21,146,False,False,True,False
365,2053060,8,14,123,False,False,True,False
528,216193,15,18,107,False,False,False,False
801,762461,12,9,79,False,False,False,False
31,347339,15,21,96,False,False,True,False
802,455333,16,15,111,False,False,False,False
970,1384720,12,13,130,False,False,False,False
48,221068,18,19,93,False,False,False,False
197,1952544,10,11,135,False,False,False,False
6,1187132,11,11,49,False,False,False,False
150,143455,11,11,149,False,False,True,False
1411,270536,10,4,91,False,False,False,False
1079,246480,14,15,104,False,False,False,False
110,212054,13,14,0,False,False,False,False
108,3763434,12,13,149,False,False,False,False
747,252444,10,11,31,False,False,True,False
464,304931,13,14,91,False,False,False,False
